ID,long,lat
97,106.91667,-6.13146
98,106.91667,-6.11992
99,106.91667,-6.10837
100,106.91667,-6.09682
101,106.92667,-6.32199
102,106.92667,-6.31044
103,106.71667,-6.22384
104,106.71667,-6.21229
105,106.92667,-6.26425
106,106.71667,-6.20074
107,106.92667,-6.25271
108,106.71667,-6.18920
109,106.92667,-6.24116
110,106.71667,-6.17765
111,106.92667,-6.22961
112,106.71667,-6.16610
113,106.92667,-6.21807
114,106.71667,-6.15456
115,106.92667,-6.20652
116,106.71667,-6.14301
117,106.92667,-6.19497
118,106.71667,-6.13146
119,106.92667,-6.18342
120,106.71667,-6.11992
121,106.92667,-6.17188
122,106.71667,-6.10837
123,106.92667,-6.16033
124,106.71667,-6.09682
125,106.92667,-6.14878
126,106.92667,-6.13724
127,106.92667,-6.12569
128,106.92667,-6.11414
129,106.92667,-6.10260
130,106.72667,-6.22961
131,106.72667,-6.21807
132,106.93667,-6.25848
133,106.72667,-6.20652
134,106.93667,-6.24693
135,106.72667,-6.19497
136,106.93667,-6.23539
137,106.72667,-6.18342
138,106.93667,-6.22384
139,106.72667,-6.17188
140,106.93667,-6.21229
141,106.72667,-6.16033
142,106.93667,-6.20074
143,106.72667,-6.14878
144,106.93667,-6.18920
145,106.72667,-6.13724
146,106.93667,-6.17765
147,106.72667,-6.12569
148,106.93667,-6.16610
149,106.72667,-6.11414
150,106.93667,-6.15456
151,106.72667,-6.10260
152,106.93667,-6.14301
153,106.93667,-6.13146
154,106.93667,-6.11992
155,106.93667,-6.10837
156,106.93667,-6.09682
157,106.73667,-6.23539
158,106.73667,-6.22384
159,106.73667,-6.21229
160,106.73667,-6.20074
161,106.94667,-6.25271
162,106.73667,-6.18920
163,106.94667,-6.24116
164,106.73667,-6.17765
165,106.94667,-6.22961
166,106.73667,-6.16610
167,106.94667,-6.21807
168,106.73667,-6.15456
169,106.94667,-6.20652
170,106.73667,-6.14301
171,106.94667,-6.19497
172,106.73667,-6.13146
173,106.94667,-6.18342
174,106.73667,-6.11992
175,106.94667,-6.17188
176,106.73667,-6.10837
177,106.94667,-6.16033
178,106.73667,-6.09682
179,106.94667,-6.14878
180,106.94667,-6.13724
181,106.94667,-6.12569
182,106.94667,-6.11414
183,106.94667,-6.10260
184,106.74667,-6.27580
185,106.74667,-6.26425
186,106.74667,-6.25271
187,106.74667,-6.24116
188,106.74667,-6.22961
189,106.74667,-6.21807
190,106.74667,-6.20652
191,106.74667,-6.19497
192,106.74667,-6.18342
193,106.95667,-6.22384
194,106.74667,-6.17188
195,106.95667,-6.21229
196,106.74667,-6.16033
197,106.95667,-6.20074
198,106.74667,-6.14878
199,106.95667,-6.18920
200,106.74667,-6.13724
201,106.95667,-6.17765
202,106.74667,-6.12569
203,106.95667,-6.16610
204,106.74667,-6.11414
205,106.95667,-6.15456
206,106.74667,-6.10260
207,106.95667,-6.14301
208,106.95667,-6.13146
209,106.95667,-6.11992
210,106.95667,-6.10837
211,106.95667,-6.09682
212,106.75667,-6.28157
213,106.75667,-6.27003
214,106.75667,-6.25848
215,106.75667,-6.24693
216,106.75667,-6.23539
217,106.75667,-6.22384
218,106.75667,-6.21229
219,106.75667,-6.20074
220,106.75667,-6.18920
221,106.75667,-6.17765
222,106.75667,-6.16610
223,106.75667,-6.15456
224,106.96667,-6.20652
225,106.75667,-6.14301
226,106.96667,-6.19497
227,106.75667,-6.13146
228,106.96667,-6.18342
229,106.75667,-6.11992
230,106.96667,-6.17188
231,106.75667,-6.10837
232,106.96667,-6.16033
233,106.96667,-6.14878
234,106.96667,-6.13724
235,106.96667,-6.12569
236,106.96667,-6.11414
237,106.96667,-6.10260
238,106.76667,-6.31044
239,106.76667,-6.29889
240,106.76667,-6.28735
241,106.76667,-6.27580
242,106.76667,-6.26425
243,106.76667,-6.25271
244,106.76667,-6.24116
245,106.76667,-6.22961
246,106.76667,-6.21807
247,106.76667,-6.20652
248,106.76667,-6.19497
249,106.76667,-6.18342
250,106.76667,-6.17188
251,106.76667,-6.16033
252,106.76667,-6.14878
253,106.76667,-6.13724
254,106.76667,-6.12569
255,106.76667,-6.11414
256,106.76667,-6.10260
